time,data,anomaly
1,100  ,
2,101  ,
3,102  ,
4,103  ,
5,104  ,
6,105  ,
7,106  ,
8,107  ,
9,108  ,
10,109  ,
11,110  ,
12,112  ,
13,113  ,
14,114  ,
15,115  ,
16,116  ,
17,117  ,
18,118  ,
19,120  ,
20,121  ,
21,122  ,
22,123  ,
23,124  ,
24,126  ,
25,127  ,
26,128  ,
27,130  ,
28,120  ,yes
29,132  ,
30,133  ,
31,135  ,
32,136  ,
33,137  ,
34,139  ,
35,140  ,
36,142  ,
37,143  ,
38,145  ,
39,146  ,
40,147  ,
41,149  ,
42,150  ,
43,152  ,
44,153  ,
45,155  ,
46,156  ,
47,158  ,
48,160  ,
49,161  ,
50,163  ,
51,164  ,
52,166  ,
53,168  ,
54,169  ,
55,171  ,
56,173  ,
57,175  ,
58,176  ,
59,178  ,
60,180  ,
61,182  ,
62,183  ,
63,185  ,
64,187  ,
65,189  ,
66,191  ,
67,193  ,
68,195  ,
69,197  ,
70,199  ,
71,201  ,
72,203  ,
73,205  ,
74,207  ,
75,209  ,
76,211  ,
77,213  ,
78,215  ,
79,217  ,
80,219  ,
81,222  ,
82,224  ,
83,226  ,
84,228  ,
85,231  ,
86,233  ,
87,235  ,
88,238  ,
89,240  ,
90,242  ,
91,245  ,
92,247  ,
93,250  ,
94,252  ,
95,255  ,
96,257  ,
97,260  ,
98,263  ,
99,265  ,
100,268  ,
101,270  ,
102,273  ,
103,276  ,
104,279  ,
105,281  ,
106,284  ,
107,287  ,
108,290  ,
109,293  ,
110,296  ,
111,299  ,
112,302  ,
113,305  ,
114,308  ,
115,311  ,
116,314  ,
117,317  ,
118,320  ,
119,324  ,
120,327  ,
121,330  ,
122,333  ,
123,337  ,
124,340  ,
125,343  ,
126,347  ,
127,350  ,
128,354  ,
129,357  ,
130,361  ,
131,365  ,
132,368  ,
133,372  ,
134,376  ,
135,379  ,
136,383  ,
137,387  ,
138,391  ,
139,395  ,
140,399  ,
141,403  ,
142,407  ,
143,411  ,
144,415  ,
145,419  ,
146,423  ,
147,427  ,
148,432  ,
149,436  ,
150,440  ,
151,445  ,
152,449  ,
153,454  ,
154,458  ,
155,463  ,
156,468  ,
157,472  ,
158,477  ,
159,482  ,
160,487  ,
161,491  ,
162,496  ,
163,501  ,
164,506  ,
165,511  ,
166,"10,000  ",yes
167,522  ,
168,527  ,
169,532  ,
170,537  ,
171,543  ,
172,548  ,
173,554  ,
174,559  ,
175,565  ,
176,570  ,
177,576  ,
178,582  ,
179,588  ,
180,594  ,
181,600  ,
182,606  ,
183,612  ,
184,618  ,
185,624  ,
186,630  ,
187,636  ,
188,643  ,
189,649  ,
190,656  ,
191,662  ,
192,669  ,
193,676  ,
194,682  ,
195,689  ,
196,696  ,
197,703  ,
198,710  ,
199,717  ,
200,724  ,
201,732  ,
202,739  ,
203,746  ,
204,754  ,
205,761  ,
206,769  ,
207,777  ,
208,784  ,
209,792  ,
210,800  ,
211,808  ,
212,816  ,
213,824  ,
214,833  ,
215,841  ,
216,849  ,
217,858  ,
218,866  ,
219,875  ,
220,884  ,
221,893  ,
222,902  ,
223,911  ,
224,920  ,
225,929  ,
226,938  ,
227,948  ,
228,957  ,
229,967  ,
230,976  ,
231,986  ,
232,996  ,
233,"1,006  ",
234,"1,016  ",
235,"1,026  ",
236,"1,036  ",
237,"1,047  ",
238,"1,057  ",
239,"1,068  ",
240,"1,078  ",
241,"1,089  ",
242,"1,100  ",
243,"1,111  ",
244,"1,122  ",
245,"1,133  ",
246,"1,145  ",
247,"1,156  ",
248,"1,168  ",
249,"1,180  ",
250,"1,191  ",
251,"1,203  ",
252,"1,215  ",
253,"1,227  ",
254,"1,240  ",
255,"1,252  ",
256,"1,265  ",
257,"1,277  ",
258,"1,290  ",
259,"1,303  ",
260,"1,316  ",
261,"1,329  ",
262,"1,342  ",
263,"1,356  ",
264,"1,369  ",
265,"1,383  ",
266,"1,397  ",
267,"1,411  ",
268,"1,425  ",
269,"1,439  ",
270,"1,454  ",
271,"1,468  ",
272,"1,483  ",
273,"1,498  ",
274,"1,513  ",
275,"1,528  ",
276,"1,543  ",
277,"1,558  ",
278,"1,574  ",
279,"1,590  ",
280,"1,606  ",
281,"1,622  ",
282,"1,638  ",
283,"1,654  ",
284,"1,671  ",
285,"1,688  ",
286,"1,704  ",
287,"1,722  ",
288,"1,739  ",
289,"1,756  ",
290,"1,774  ",
291,"1,791  ",
292,"1,809  ",
293,"1,827  ",
294,"1,846  ",
295,"1,864  ",
296,"1,883  ",
297,"1,902  ",
298,"1,921  ",
299,"1,940  ",
300,"1,959  ",
301,"1,979  ",
302,"1,999  ",
303,"2,019  ",
304,"2,039  ",
305,"2,059  ",
306,"2,080  ",
307,"2,101  ",
308,"2,122  ",
309,"2,143  ",
310,"2,164  ",
311,"2,186  ",
312,34  ,yes
313,"2,230  ",
314,"2,252  ",
315,"2,275  ",
316,"2,297  ",
317,"2,320  ",
318,"2,344  ",
319,"2,367  ",
320,"2,391  ",
321,"2,415  ",
322,"2,439  ",
323,"2,463  ",
324,"2,488  ",
325,"2,513  ",
326,"2,538  ",
327,"2,563  ",
328,"2,589  ",
329,"2,615  ",
330,"2,641  ",
331,"2,667  ",
332,"2,694  ",
333,"2,721  ",
334,"2,748  ",
335,"2,775  ",
336,"2,803  ",
337,"2,831  ",
338,"2,860  ",
339,"2,888  ",
340,"2,917  ",
341,"2,946  ",
342,"2,976  ",
343,"3,005  ",
344,"3,036  ",
345,"3,066  ",
346,"3,097  ",
347,"3,127  ",
348,"3,159  ",
349,"3,190  ",
350,"3,222  ",
351,"3,254  ",
352,"3,287  ",
353,"3,320  ",
354,"3,353  ",
355,"3,387  ",
356,"3,420  ",
357,"3,455  ",
358,"3,489  ",
359,"3,524  ",
360,"3,559  ",
361,"3,595  ",
362,"3,631  ",
363,"3,667  ",
364,"3,704  ",
365,"3,741  ",
366,"3,778  ",
367,"3,816  ",
368,"3,854  ",
369,"3,893  ",
370,"3,932  ",
371,45  ,yes
372,"4,011  ",
