time,data,anomaly
1,100,
2,110,
3,120,
4,130,
5,140,
6,150,
7,160,
8,170,
9,180,
10,190,
11,200,
12,210,
13,220,
14,230,
15,240,
16,250,
17,260,
18,270,
19,280,
20,290,
21,300,
22,310,
23,320,
24,330,
25,340,
26,350,
27,360,
28,1000,yes
29,380,
30,390,
31,400,
32,410,
33,420,
34,430,
35,440,
36,450,
37,460,
38,470,
39,480,
40,490,
41,500,
42,510,
43,520,
44,530,
45,540,
46,550,
47,560,
48,570,
49,580,
50,590,
51,600,
52,610,
53,620,
54,630,
55,640,
56,650,
57,660,
58,670,
59,680,
60,690,
61,700,
62,710,
63,720,
64,730,
65,740,
66,750,
67,760,
68,770,
69,780,
70,790,
71,800,
72,810,
73,820,
74,830,
75,840,
76,850,
77,860,
78,870,
79,880,
80,890,
81,900,
82,910,
83,920,
84,930,
85,940,
86,950,
87,960,
88,970,
89,980,
90,990,
91,1000,
92,1010,
93,1020,
94,1030,
95,1040,
96,1050,
97,1060,
98,1070,
99,1080,
100,1090,
101,1100,
102,1110,
103,1120,
104,1130,
105,1140,
106,1150,
107,1160,
108,1170,
109,1180,
110,1190,
111,1200,
112,1210,
113,1220,
114,1230,
115,1240,
116,1250,
117,1260,
118,1270,
119,1280,
120,1290,
121,1300,
122,1310,
123,1320,
124,1330,
125,1340,
126,1350,
127,1360,
128,1370,
129,1380,
130,1390,
131,1400,
132,1410,
133,1420,
134,1430,
135,1440,
136,1450,
137,1460,
138,1470,
139,1480,
140,1490,
141,1500,
142,1510,
143,1520,
144,1530,
145,1540,
146,1550,
147,1560,
148,1570,
149,1580,
150,1590,
151,1600,
152,1610,
153,1620,
154,1630,
155,1640,
156,1650,
157,1660,
158,1670,
159,1680,
160,1690,
161,1700,
162,1710,
163,1720,
164,1730,
165,1740,
166,1,yes
167,1760,
168,1770,
169,1780,
170,1790,
171,1800,
172,1810,
173,1820,
174,1830,
175,1840,
176,1850,
177,1860,
178,1870,
179,1880,
180,1890,
181,1900,
182,1910,
183,1920,
184,1930,
185,1940,
186,1950,
187,1960,
188,1970,
189,1980,
190,1990,
191,2000,
192,2010,
193,2020,
194,2030,
195,2040,
196,2050,
197,2060,
198,2070,
199,2080,
200,2090,
201,2100,
202,2110,
203,2120,
204,2130,
205,2140,
206,2150,
207,2160,
208,2170,
209,2180,
210,2190,
211,2200,
212,2210,
213,2220,
214,2230,
215,2240,
216,2250,
217,2260,
218,2270,
219,2280,
220,2290,
221,2300,
222,2310,
223,2320,
224,2330,
225,2340,
226,2350,
227,2360,
228,2370,
229,2380,
230,2390,
231,2400,
232,2410,
233,2420,
234,2430,
235,2440,
236,2450,
237,2460,
238,2470,
239,2480,
240,2490,
241,2500,
242,2510,
243,2520,
244,2530,
245,2540,
246,2550,
247,2560,
248,2570,
249,2580,
250,2590,
251,2600,
252,2610,
253,2620,
254,2630,
255,2640,
256,2650,
257,2660,
258,2670,
259,2680,
260,2690,
261,2700,
262,2710,
263,2720,
264,2730,
265,2740,
266,2750,
267,2760,
268,2770,
269,2780,
270,2790,
271,2800,
272,2810,
273,2820,
274,2830,
275,2840,
276,2850,
277,2860,
278,2870,
279,2880,
280,2890,
281,2900,
282,2910,
283,2920,
284,2930,
285,2940,
286,2950,
287,2960,
288,2970,
289,2980,
290,2990,
291,3000,
292,3010,
293,3020,
294,3030,
295,3040,
296,3050,
297,3060,
298,3070,
299,3080,
300,3090,
301,3100,
302,3110,
303,3120,
304,3130,
305,3140,
306,3150,
307,3160,
308,3170,
309,3180,
310,3190,
311,3200,
312,3500,yes
313,3220,
314,3230,
315,3240,
316,3250,
317,3260,
318,3270,
319,3280,
320,3290,
321,3300,
322,3310,
323,3320,
324,3330,
325,3340,
326,3350,
327,3360,
328,3370,
329,3380,
330,3390,
331,3400,
332,3410,
333,3420,
334,3430,
335,3440,
336,3450,
337,3460,
338,3470,
339,3480,
340,3490,
341,3500,
342,3510,
343,3520,
344,3530,
345,3540,
346,3550,
347,3560,
348,3570,
349,3580,
350,3590,
351,3600,
352,3610,
353,3620,
354,3630,
355,3640,
356,3650,
357,3660,
358,3670,
359,3680,
360,3690,
361,3700,
362,3710,
363,3720,
364,3730,
365,3740,
366,3750,
367,3760,
368,3770,
369,3780,
370,3790,
371,50,yes
372,3810,
373,3820,
374,3830,
375,3840,
376,3850,
377,3860,
378,3870,
379,3880,
380,3890,
381,3900,
382,3910,
383,3920,
384,3930,
385,3940,
386,3950,
387,3960,
388,3970,
389,3980,
390,3990,
391,4000,
392,4010,
393,4020,
394,4030,
395,4040,
396,4050,
397,4060,
398,4070,
399,4080,
400,4090,
401,4100,
402,4110,
403,4120,
404,4130,
405,4140,
406,4150,
407,4160,
408,4170,
409,4180,
410,4190,
411,4200,
412,4210,
413,4220,
414,4230,
415,4240,
416,4250,
417,4260,
418,4270,
419,4280,
420,4290,
421,4300,
422,4310,
423,4320,
424,4330,
425,4340,
426,45,yes
427,4360,
428,4370,
429,4380,
430,4390,
431,4400,
432,4410,
433,4420,
434,4430,
435,4440,
436,4450,
437,4460,
438,4470,
439,4480,
440,4490,
441,4500,
442,4510,
443,4520,
444,4530,
445,4540,
446,23334,yes
447,4560,
448,4570,
449,4580,
450,4590,
451,4600,
452,4610,
453,4620,
454,4630,
455,4640,
456,4650,
457,4660,
458,4670,
459,4680,
460,4690,
461,4700,
462,4710,
463,4720,
464,4730,
465,4740,
466,4750,
467,4760,
468,4770,
469,4780,
470,4790,
471,4800,
472,2,yes
473,4820,
474,4830,
475,4840,
476,4850,
477,4860,
478,4870,
479,4880,
480,4890,
481,4900,
482,4910,
483,4920,
484,4930,
485,4940,
486,4950,
487,4960,
488,4970,
489,4980,
490,4990,
491,5000,
492,5010,
493,5020,
494,5030,
495,5040,
496,5050,
497,5060,
498,5070,
499,5080,
500,5090,
501,5100,
502,5110,
503,5120,
504,5130,
505,5140,
506,5150,
507,5160,
508,5170,
509,5180,
510,5190,
511,5200,
512,5210,
513,5220,
514,5230,
515,5240,
516,5250,
517,5260,
518,5270,
519,5280,
520,5290,
521,5300,
522,5310,
523,5320,
524,5330,
525,5340,
526,5350,
527,5360,
528,5370,
529,5380,
530,5390,
531,5400,
532,5410,
533,5420,
534,5430,
535,5440,
536,5450,
537,5460,
538,5470,
539,5480,
540,5490,
541,5500,
542,5510,
543,5520,
544,5530,
545,5540,
546,5550,
547,5560,
548,5570,
549,5580,
550,5590,
551,5600,
552,5610,
553,5620,
554,5630,
555,24000,yes
556,5650,
557,5660,
558,5670,
559,5680,
560,5690,
561,5700,
562,5710,
563,5720,
564,5730,
565,5740,
566,5750,
567,5760,
568,5770,
569,5780,
570,5790,
571,5800,
572,5810,
573,5820,
574,5830,
575,5840,
576,5850,
577,5860,
578,5870,
579,5880,
580,5890,
581,5900,
582,5910,
583,5920,
584,5930,
585,5940,
586,5950,
587,5960,
588,5970,
589,5980,
590,5990,
591,6000,
592,6010,
593,6020,
594,6030,
595,6040,
596,6050,
597,6060,
598,6070,
599,6080,
600,6090,
601,6100,
602,6110,
603,6120,
604,6130,
605,6140,
606,6150,
607,6160,
608,6170,
609,6180,
610,6190,
611,6200,
612,6210,
613,6220,
614,6230,
615,6240,
616,6250,
617,6260,
618,6270,
619,6280,
620,6290,
621,6300,
622,6310,
623,6320,
624,6330,
625,6340,
626,6350,
627,6360,
628,6370,
629,6380,
630,6390,
631,6400,
632,6410,
633,6420,
634,6430,
635,6440,
636,6450,
637,6460,
638,6470,
639,6480,
640,6490,
641,6500,
642,6510,
643,6520,
644,6530,
645,6540,
646,6550,
647,6560,
648,6570,
649,6580,
650,6590,
651,6600,
652,6610,
653,6620,
654,6630,
655,6640,
656,6650,
657,6660,
658,6670,
659,6680,
660,6690,
661,6700,
662,6710,
663,6720,
664,6730,
665,6740,
666,6750,
667,6760,
668,6770,
669,6780,
670,6790,
671,6800,
672,6810,
673,6700,yes
674,6830,
675,6840,
676,6850,
677,6860,
678,6870,
679,6880,
680,6890,
681,6900,
682,6910,
683,6920,
684,6930,
685,6940,
686,6950,
687,6960,
688,6970,
689,6980,
690,6990,
691,7000,
692,7010,
693,7020,
694,7030,
695,7040,
696,7050,
697,7060,
698,7070,
699,7080,
700,7090,
701,7100,
702,7110,
703,7120,
704,7130,
705,7140,
706,7150,
707,7160,
708,7170,
709,7180,
710,7190,
711,7200,
712,7210,
713,7220,
714,7230,
715,7240,
716,7250,
717,7260,
718,7270,
719,6700,yes
720,7290,
721,7300,
722,7310,
723,7320,
724,7330,
725,7340,
726,7350,
727,7360,
728,7370,
729,7380,
730,7390,
731,7400,
732,7410,
733,7420,
734,7430,
735,7440,
736,7450,
737,7460,
738,7470,
739,7480,
740,10000,yes
741,7500,
742,7510,
743,7520,
744,7530,
745,7540,
746,7550,
747,7560,
748,7570,
749,7580,
750,7590,
751,7600,
752,7610,
753,7620,
754,7630,
755,7640,
756,7650,
757,7660,
758,7670,
759,7680,
760,7690,
761,7700,
762,7710,
763,7720,
764,7730,
765,7740,
766,7750,
767,7760,
768,7770,
769,7780,
770,7790,
771,7800,
772,7810,
773,7820,
774,7830,
775,7840,
776,7850,
777,7860,
778,7870,
779,7880,
780,7890,
781,7900,
782,7910,
783,7920,
784,7930,
785,7940,
786,7950,
787,7960,
788,7970,
789,7980,
790,7990,
791,8000,
792,8010,
793,8020,
794,8030,
795,8040,
796,8050,
797,8060,
798,8070,
799,8080,
800,8090,
801,8100,
802,8110,
803,8120,
804,8130,
805,8140,
806,8150,
807,8160,
808,8170,
809,8180,
810,8190,
811,8200,
812,8210,
813,8220,
814,8230,
815,8240,
816,8250,
817,8260,
818,8270,
819,8280,
820,8290,
821,8300,
822,8310,
823,8320,
824,8330,
825,8340,
826,8350,
827,8360,
828,8370,
829,8380,
830,8390,
831,8400,
832,8410,
833,8420,
834,8430,
835,8440,
836,8450,
837,8460,
838,8470,
839,8480,
840,8490,
841,8500,
842,8510,
843,8520,
844,8530,
845,8540,
846,8550,
847,8560,
848,8570,
849,8580,
850,8590,
851,8600,
852,8610,
853,8620,
854,8630,
855,8640,
856,8650,
857,8660,
858,8670,
859,8680,
860,8690,
861,8700,
862,8710,
863,8720,
864,8730,
865,8740,
866,8750,
867,8760,
868,8770,
869,8780,
870,8790,
871,8800,
872,8810,
873,8820,
874,8830,
875,8840,
876,8850,
877,8860,
878,8870,
879,900000,yes
880,8890,
881,8900,
882,8910,
883,8920,
884,8930,
885,8940,
886,8950,
887,8960,
888,8970,
889,8980,
890,8990,
891,9000,
892,9010,
893,9020,
894,9030,
895,9040,
896,9050,
897,9060,
898,9070,
899,9080,
900,9095,yes
901,9100,
902,9110,
903,9120,
904,9130,
905,9140,
906,9150,
907,9160,
908,9170,
909,9180,
910,9190,
911,9200,
912,9210,
913,9220,
914,9230,
915,9240,
916,9250,
917,9260,
918,9270,
919,9280,
920,9290,
921,9300,
922,9310,
923,9320,
924,9330,
925,9340,
926,9350,
927,9360,
928,9370,
929,9380,
930,9390,
931,9400,
932,9410,
933,9420,
934,9430,
935,9440,
936,9450,
937,9460,
938,9470,
939,9480,
940,9490,
941,9500,
942,9510,
943,9520,
944,9530,
945,9540,
946,9550,
947,9560,
948,9570,
949,9580,
950,9590,
951,9600,
952,9610,
953,9620,
954,9630,
955,9640,
956,9650,
957,9660,
958,9670,
959,9680,
960,9690,
961,9700,
962,9710,
963,9720,
964,9730,
965,9740,
966,9750,
967,9760,
968,9770,
969,3224,yes
970,9790,
971,9800,
972,9810,
973,9820,
974,9830,
975,9840,
976,9850,
977,9860,
978,9870,
979,9880,
980,9890,
981,9900,
982,9910,
983,9920,
984,9930,
985,9940,
986,9950,
987,9960,
988,9970,
989,9980,
990,9990,
991,10000,
992,10010,
993,10020,
994,10030,
995,10040,
996,10050,
997,10060,
998,10070,
999,10080,
1000,10090,
